company_id,year,broad_sector,sub_sector,return_on_equity_pct,roce_pct,net_profit_margin_pct,free_cash_flow_cr,fcf_cagr_5yr_pct,cash_flow_to_net_profit,revenue_cagr_5yr_pct,pat_cagr_5yr_pct,debt_to_equity,interest_coverage,profitability_score,cash_quality_score,growth_score,leverage_score,composite_quality_score
INDIGO,2024,Consumer Discretionary,Airlines,892.568306010929,5640.87982832618,11.852722628584697,9424.0,71.56520119992503,2.5937308681278317,19.313355125806165,120.69250867467933,0.018579234972677595,22.60232158211522,28.380225819528263,30.0,18.835861082228945,10.66211566573417,87.88
NESTLEIND,2024,Consumer Staples,Food Products,117.75449101796407,157.74762550881954,16.12281708616873,2938.0,5.84085360301152,1.0615306381896772,14.548573711802671,14.852319512993839,0.10329341317365269,40.08965517241379,29.67127751810196,18.83227681108227,14.545432635733178,9.19887369563838,72.25
IRCTC,2024,Consumer Discretionary,Travel & Tourism,34.39628482972136,44.559270516717326,26.01873536299766,667.0,35.50477381816852,0.7938793879387939,17.955244103890912,29.16686408659448,0.018575851393188854,77.15789473684211,21.910584128649,22.457491708250128,15.049734686722648,12.566590433497808,71.98
COALINDIA,2024,Materials,Mining & Metals,45.16982956605826,105.7129732333927,26.25628846856468,13617.0,9.987217411819094,0.48443897348069254,7.402890725901301,16.43231987118112,0.0788468512027076,11.237732253454025,33.81886989355657,14.418989102259417,9.186032242974454,9.779559951173542,67.2
ASIANPAINT,2024,Materials,Paints & Coatings,29.677488252883382,35.774926893689276,15.658543456824905,3556.0,18.035870453634505,1.0982367758186398,13.029660349453076,20.277362101955056,0.1321016659547202,37.0,15.994720339116324,22.84348221835903,17.36323579887602,10.34539252806813,66.55
HAL,2024,Industrials,Defence & Aerospace,3816.5829145728644,3027.639751552795,24.999177117277245,1814.0,,1.0830809743252139,8.712548590236358,26.485270563052985,0.6180904522613065,226.72093023255815,33.27570222391463,12.516610087443581,8.42801678952544,11.371121511641,65.59
BAJAJHLDNG,2024,Financials,Holding Companies,13.576787656460265,2.8760817529000184,432.7262044653349,1469.0,25.867547044417382,0.26354378818737273,31.612293448969165,19.297559063731295,0.0011613545449517945,781.0,11.956857452220856,24.010643240270028,14.278033717206641,15.0,65.25
ICICIGI,2024,Financials,General Insurance,15.7230643179025,146.3235294117647,9.366915605017816,486.0,32.27903093325808,1.2542991141219386,12.911841003362579,12.839173718198161,0.0028676771814829987,159.91071428571428,14.691515293000279,27.786252119865086,6.1039571245619175,15.0,63.58
PIDILITIND,2024,Materials,Specialty Chemicals,20.780302129178065,30.81124132438275,14.108051360736493,955.0,23.53017525858574,1.559244419004007,11.836370175898114,13.48774998597666,0.045438325205186154,53.09803921568628,11.18225189218192,28.663682012726106,11.875943272803376,11.773752487220198,63.5
CIPLA,2024,Healthcare,Pharmaceuticals,15.554557028383135,71.45791307537137,16.11701714906495,1152.0,228.75036590344516,0.9951853635050554,9.513860126378049,22.726834848000887,0.020931625851868495,35.29528985507246,21.805289909682813,21.63638685239063,9.121373547259768,10.826724911578502,63.39
ABB,2024,Industrials,Capital Goods,32.46823465801568,38.41882601797991,20.533424517011454,797.0,26.919569716520275,1.009991673605329,9.716101277290168,21.69314043381163,0.022438496891051634,121.08333333333333,18.18797911307237,21.985574878507663,7.786020718028196,13.845960615581248,61.81
ADANIPOWER,2024,Energy,Power & Utilities,48.27674122146251,23.441056570774553,41.36759945184802,10689.0,18.235063711299414,0.6803015027125642,16.086096410440966,,0.8023177656738903,5.380165289256198,31.160093725412935,13.66647020474063,6.719604047528138,10.189998667786272,61.74
ITC,2024,Consumer Staples,Diversified FMCG,27.851074395694365,35.06616762464911,29.282025230717128,15616.0,17.28337362965442,0.8278637174112091,7.950896846254429,10.083407558317958,0.004066731984914169,327.9125,19.26832946495974,21.65306630021319,4.80452705436781,15.0,60.73
SUNPHARMA,2024,Healthcare,Pharmaceuticals,15.094161810671148,19.446975695015013,19.815658700538176,11372.0,43.238258609440905,1.2627471383975026,10.78116321985565,24.536829642931245,0.051423814535002436,54.69747899159664,14.208374552263216,23.75091308630991,11.331102239004473,11.070210880836914,60.36
BRITANNIA,2024,Consumer Staples,Food Products,54.14869322506978,52.730602730602726,12.725863199952292,2096.0,47.13078053925264,1.2057169634489222,8.690023727476138,13.063515827454196,0.5239786856127886,19.3109756097561,21.70854718713238,29.264731328898318,7.334933911405706,0.33384052268187325,58.64
ADANIPORTS,2024,Industrials,Infrastructure,15.3548827162833,15.246263985603631,30.339560480700833,8250.0,37.789734468642024,1.8531589338598222,19.57867595245697,14.909565182041629,0.9373223691689719,5.7039882912550315,13.473659005444386,27.360066102574756,13.021381312077416,4.573139701775303,58.43
